"DATE","LOCATION","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
1970-09-18,"S4E",1.98,1.22,3.66,2.74,1.83,1.83,1.68,1.37,1.22,NA,NA
1970-09-18,"S4S",1.22,0.46,NA,0.15,0.15,0.46,1.07,1.68,1.98,2.13,NA
1970-09-18,"S4W",0.74,0.76,2.74,2.44,1.83,1.83,2.13,2.13,NA,NA,NA
1970-09-18,"S5",1.42,0.76,0.76,0.46,1.07,1.22,1.68,1.68,NA,NA,NA
1970-09-24,"S6",2.36,0.3,2.44,1.52,1.22,1.37,1.37,1.37,NA,NA,NA
1970-11-17,"S1N",3.66,6.58,4.88,4.27,1.83,1.52,1.52,0.91,2.29,2.9,2.44
1970-11-17,"S1S",3.12,6.1,3.96,4.11,2.44,1.07,1.07,0.15,0.46,0.76,9.3
1970-11-10,"S2E",3.78,6.1,3.35,3.51,3.2,3.81,2.29,2.29,NA,NA,NA
1970-11-10,"S2W",5.21,4.11,1.98,2.44,2.13,2.44,2.9,3.2,2.9,2.59,1.52
1970-11-17,"S2S",4.78,5.94,5.49,5.18,4.42,4.11,4.72,4.88,4.27,2.74,1.37
1970-11-17,"S3W",1.24,2.13,1.83,2.29,4.11,0.91,1.22,1.68,1.37,2.13,2.59
1970-11-20,"S4E",6.58,6.4,5.64,3.35,2.13,2.59,3.05,2.13,1.52,NA,NA
1970-11-20,"S4S",2.92,2.9,2.44,3.2,3.2,2.69,0.76,1.37,1.83,1.83,NA
1970-11-20,"S4W",3.4,4.72,5.94,4.42,3.81,2.9,2.44,2.44,NA,NA,NA
1970-11-20,"S5",3.58,2.74,2.74,3.51,2.9,2.44,1.83,1.83,NA,NA,NA
1970-11-17,"S6",2.11,4.88,4.72,2.59,1.52,1.22,0.91,0.91,NA,NA,NA
1971-05-05,"S1N",4.22,7.19,4.72,4.72,3.51,4.42,3.66,4.42,4.72,5.49,5.64
1971-05-05,"S1S",2.67,6.86,4.11,3.96,3.66,5.03,3.96,4.88,9.91,9.75,11.13
1971-05-05,"S2E",4.04,7.77,3.81,4.27,3.81,4.27,3.05,3.05,NA,NA,NA
1971-05-05,"S2W",3.2,3.51,2.29,3.2,2.59,2.9,3.81,3.81,3.51,2.13,2.59
1971-05-05,"S2S",4.04,6.1,6.71,5.94,5.18,4.72,4.88,5.64,3.66,NA,NA
1971-05-06,"S3W",2.24,2.29,1.83,3.35,5.03,4.72,4.88,5.49,3.51,6.55,7.32
1971-05-07,"S4E",5.94,7.01,6.25,5.18,4.27,5.03,5.03,4.27,5.03,NA,NA
1971-05-07,"S4S",2.51,2.9,2.29,3.66,4.72,5.49,4.42,4.42,3.51,3.05,NA
