"","YEAR","LOCATION","season","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
"121",1996,"S2S","Growing",1.24,0.43,4.37,3,2.62,2.39,2.62,2.41,NA,1.12,1.04
"122",1996,"S2S","Melt",3.48,4.67,7.19,4.78,4.6,3.99,4.6,5,1.98,2.9,2.41
"123",1996,"S2S","Snow",4.09,4.67,7.04,4.6,4.32,3.71,4.17,4.52,2.18,2.64,1.24
"124",1997,"S2E","Growing",3.3,5.28,1.27,1.4,2.03,1.42,1.47,1.47,NA,NA,NA
"125",1997,"S2E","Melt",3.94,7.65,3.71,2.84,2.13,1.55,1.7,1.7,NA,NA,NA
"126",1997,"S2E","Snow",3.15,6.1,3.1,2.08,1.55,1.37,1.83,1.83,NA,NA,NA
"127",1997,"S2S","Growing",3.56,2.29,4.47,3.05,2.49,2.16,2.46,2.46,0.25,1.4,1.42
"128",1997,"S2S","Melt",4.29,4.78,7.26,4.98,4.85,4.22,4.67,5.16,2.18,2.95,2.39
"129",1997,"S2S","Snow",3.43,4.01,6.81,4.83,4.22,3.81,4.11,4.09,1.37,2.18,1.4
"130",1998,"S2E","Growing",1.8,3.38,1.4,1.4,1.7,1.63,1.19,1.19,NA,NA,NA
"131",1998,"S2E","Melt",4.24,6.98,3.33,2.46,1.8,1.55,1.65,1.65,NA,NA,NA
"132",1998,"S2E","Snow",4.06,6.76,3.3,2.18,1.65,1.35,1.17,1.17,NA,NA,NA
"133",1998,"S2S","Growing",2.54,1.47,3.84,2.57,2.24,1.98,2.03,1.88,NA,1.09,1.09
"134",1998,"S2S","Melt",4.22,4.32,6.88,4.72,4.44,3.94,4.44,4.72,1.8,2.77,2.34
"135",1998,"S2S","Snow",3.96,4.42,6.96,4.88,4.17,3.53,3.86,3.71,1.35,0.97,0.81
"136",1999,"S2E","Growing",4.5,6.58,3.05,1.78,1.85,1.42,1.37,1.37,NA,NA,NA
"137",1999,"S2E","Melt",3.66,7.75,3.33,2.59,2.01,1.42,1.4,1.4,NA,NA,NA
"138",1999,"S2E","Snow",3.78,5.74,3.15,2.29,1.96,1.35,1.35,1.35,NA,NA,NA
